@type
@document
@id
@value
@precision
@name
@original
@scale
@todo
@url
@user
@errors
@app
@base
@messages
@files
@xpath
@file
@uri
@password
@guest
@item
@featured
@collections
@status
@work
@include
@example
@term
@alias
@properties
@full
@graph
@association
@before
@call
@after
@context
@token
@display
@resource
@resources
@range
@storage
@annotationType
@import
@model
@doi
